Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size,Days on Site
"3424 URSULINE, Galveston, TX",https://www.estately.com/listings/info/3424-ursuline-galveston-tx-77550,3424_URSULINE_Galveston_TX.jpg,"$299,900",House For Sale,20 photos,"Joe Tramonte Realty, Inc.",2,1,"1,012","5,136",
"2809 W Palm Circle, Galveston, TX",https://www.estately.com/listings/info/2809-w-palm-circle-galveston-tx-77551,2809_W_Palm_Circle_Galveston_TX.jpg,"$370,000",House For Sale,35 photos,RE/MAX Leading Edge,3,2,"1,877","6,300",
"2415 38th Street, Galveston, TX",https://www.estately.com/listings/info/2415-38th-street-galveston-tx-77550,2415_38th_Street_Galveston_TX.jpg,"$359,000",House For Sale,22 photos,Keller Williams Realty Clear Lake / NASA,2,1,"1,043","3,941",
"3807 Avenue M 1/2, Galveston, TX",https://www.estately.com/listings/info/3807-avenue-m-1-2-galveston-tx-77550--3,3807_Avenue_M_12_Galveston_TX.jpg,"$429,000",House For Sale,39 photos,Rose Above Realty,3,2,"1,324","5,140",
"3807 Avenue R, Galveston, TX",https://www.estately.com/listings/info/3807-avenue-r-galveston-tx-77550,3807_Avenue_R_Galveston_TX.jpg,"$679,000",House For Sale,7 photos,Connect Realty.com,3,2,"1,742","7,710",
"5624 Avenue L, Galveston, TX",https://www.estately.com/listings/info/5624-avenue-l-galveston-tx-77551--3,5624_Avenue_L_Galveston_TX.jpg,"$221,500",House For Sale,16 photos,Sky Homes Realty,2,2,"1,050","3,000",
"6102 Seawall Boulevard Unit 193, Galveston, TX",https://www.estately.com/listings/info/6102-seawall-boulevard-galveston-tx-77551--177,6102_Seawall_Boulevard_Unit193_Galveston_TX.jpg,"$214,900",Condo For Sale,16 photos,RE/MAX Space Center,1,1,462,462,
"3223 Avenue M, Galveston, TX",https://www.estately.com/listings/info/3223-avenue-m-galveston-tx-77550,3223_Avenue_M_Galveston_TX.jpg,"$400,000",House For Sale,44 photos,Coldwell Banker Realty - Memorial Office,6,4,"2,398","2,432",
"4818 Sherman Boulevard, Galveston, TX",https://www.estately.com/listings/info/4818-sherman-boulevard-galveston-tx-77551,4818_Sherman_Boulevard_Galveston_TX.jpg,"$550,000",House For Sale,50 photos,"Joe Tramonte Realty, Inc.",3,2.5,"2,422","6,292",
"4014 Avenue R 1/2, Galveston, TX",https://www.estately.com/listings/info/4014-avenue-r-1-2-galveston-tx-77550,4014_Avenue_R_12_Galveston_TX.jpg,"$724,900",House For Sale,48 photos,Keller Williams Premier Realty,3,4.5,"2,564","5,568",
"4924 Austin Drive, Galveston, TX",https://www.estately.com/listings/info/4924-austin-drive-galveston-tx-77551--2,4924_Austin_Drive_Galveston_TX.jpg,"$349,900",House For Sale,18 photos,Prime Realty Group,3,2,"1,574","5,000",
"2422 Avenue M, Galveston, TX",https://www.estately.com/listings/info/2422-avenue-m-galveston-tx-77550--8,2422_Avenue_M_Galveston_TX.jpg,"$485,000",House For Sale,50 photos,Better Homes and Gardens Real Estate Gary Greene - Champions,5,3,"1,632","4,368",
"702 40th Street, Galveston, TX",https://www.estately.com/listings/info/702-40th-street-galveston-tx-77550--1,702_40th_Street_Galveston_TX.jpg,"$219,950",House For Sale,19 photos,KA Realty,2,1,660,"1,764",
"6102 Seawall Boulevard Unit 158, Galveston, TX",https://www.estately.com/listings/info/6102-seawall-boulevard-galveston-tx-77551--176,6102_Seawall_Boulevard_Unit158_Galveston_TX.jpg,"$199,900",Condo For Sale,50 photos,RE/MAX Elite Properties,1,1,462,462,
"5302 Borden Avenue, Galveston, TX",https://www.estately.com/listings/info/5302-borden-avenue-galveston-tx-77551,5302_Borden_Avenue_Galveston_TX.jpg,"$259,000",House For Sale,23 photos,"Compass RE Texas, LLC - Houston",2,1,"1,072","4,200",
"6300 Seawall Boulevard Unit 9115, Galveston, TX",https://www.estately.com/listings/info/6300-seawall-boulevard-galveston-tx-77551--129,6300_Seawall_Boulevard_Unit9115_Galveston_TX.jpg,"$202,000",Condo For Sale,30 photos,"Sand N Sea Properties, LLC",1,1,474,474,
"6102 Seawall Boulevard Unit 306B, Galveston, TX",https://www.estately.com/listings/info/6102-seawall-boulevard-galveston-tx-77551--175,6102_Seawall_Boulevard_Unit306B_Galveston_TX.jpg,"$220,000",Condo For Sale,6 photos,RUTLEDGE REAL ESTATE LLC,1,1,462,462,
"1009 Avenue L, Galveston, TX",https://www.estately.com/listings/info/1009-avenue-l-galveston-tx-77550--2,1009_Avenue_L_Galveston_TX.jpg,"$499,000",House For Sale,35 photos,JPAR - The Sears Group,3,2,"1,315","2,580",
"5611 Avenue M, Galveston, TX",https://www.estately.com/listings/info/5611-avenue-m-galveston-tx-77551,5611_Avenue_M_Galveston_TX.jpg,"$430,000",House For Sale,12 photos,"UTR TEXAS, REALTORS",5,3,"1,905","3,000",
"4417 Avenue R Avenue, Galveston, TX",https://www.estately.com/listings/info/4417-avenue-r-avenue-galveston-tx-77550,4417_Avenue_R_Avenue_Galveston_TX.jpg,"$299,999",House For Sale,31 photos,RE/MAX Universal,2,1,"1,044","5,160",
"3727 Ursuline Avenue, Galveston, TX",https://www.estately.com/listings/info/3727-ursuline-corner-galveston-tx-77550,3727_Ursuline_Avenue_Galveston_TX.jpg,"$259,000",House For Sale,14 photos,The Local Agents Real Estate LLC,2,1,–,,
"3822 Avenue O 1/2, Galveston, TX",https://www.estately.com/listings/info/3822-avenue-o-1-2-galveston-tx-77550,3822_Avenue_O_12_Galveston_TX.jpg,"$349,777",House For Sale,35 photos,"Texas Flat Fee, REALTORS",2,2,"1,015","4,080",
"2116 Church Street Unit 3C, Galveston, TX",https://www.estately.com/listings/info/2116-church-street-galveston-tx-77550--1,2116_Church_Street_Unit3C_Galveston_TX.jpg,"$449,500",Condo For Sale,26 photos,"Sand N Sea Properties, LLC",2,2,"1,112","1,112",
"711 17th Street, Galveston, TX",https://www.estately.com/listings/info/711-17th-street-galveston-tx-77550,711_17th_Street_Galveston_TX.jpg,"$349,000",House For Sale,27 photos,Better Homes and Gardens Real Estate Gary Greene - Galveston West End,2,1,"1,000","1,500",
"5703 Fraser Avenue, Galveston, TX",https://www.estately.com/listings/info/5703-fraser-avenue-galveston-tx-77551--2,5703_Fraser_Avenue_Galveston_TX.jpg,"$269,900",House For Sale,24 photos,Great Wall Realty LLC,3,2,"1,727","6,000",
"2315 35th Street, Galveston, TX",https://www.estately.com/listings/info/2315-35th-street-galveston-tx-77550--1,2315_35th_Street_Galveston_TX.jpg,"$215,000",House For Sale,21 photos,Realm Real Estate Professionals - Katy,2,2,936,"1,550",
"1401 Avenue L, Galveston, TX",https://www.estately.com/listings/info/1401-avenue-l-galveston-tx-77550,1401_Avenue_L_Galveston_TX.jpg,"$380,000",House For Sale,33 photos,"Sand N Sea Properties, LLC",3,2,"1,160","2,611",
"215 Postoffice Street Unit 1004, Galveston, TX",https://www.estately.com/listings/info/215-postoffice-street-galveston-tx-77550--2,215_Postoffice_Street_Unit1004_Galveston_TX.jpg,"$195,000",Condo For Sale,14 photos,Eaton Realty,2,1,756,756,
"60 Grand Beach Boulevard, Galveston, TX",https://www.estately.com/listings/info/60-grand-beach-boulevard-galveston-tx-77550,60_Grand_Beach_Boulevard_Galveston_TX.jpg,"$1,249,000",House For Sale,35 photos,5th Stream Realty,4,3.5,"2,282","6,025",
"404 1st Street, Galveston, TX",https://www.estately.com/listings/info/404-1st-street-galveston-tx-77550,404_1st_Street_Galveston_TX.jpg,"$249,900",Townhouse For Sale,15 photos,Galveston Island Real Estate,2,2.5,"1,440","2,515",
"415 E Beach Drive Unit 408, Galveston, TX",https://www.estately.com/listings/info/415-e-beach-drive-galveston-tx-77550--31,415_E_Beach_Drive_Unit408_Galveston_TX.jpg,"$245,000",Condo For Sale,27 photos,eXp Realty LLC,–,1,416,,
"313 14th Street, Galveston, TX",https://www.estately.com/listings/info/313-14th-street-galveston-tx-77550--9,313_14th_Street_Galveston_TX.jpg,"$549,900",House For Sale,46 photos,RE/MAX Leading Edge,3,2,"1,748","2,542",
"1302 Winnie Street, Galveston, TX",https://www.estately.com/listings/info/1302-winnie-street-galveston-tx-77550,1302_Winnie_Street_Galveston_TX.jpg,"$1,150,000",Multifamily For Sale,34 photos,JPAR - The Sears Group,12,7,"3,888","5,160",
"701 39th Street, Galveston, TX",https://www.estately.com/listings/info/701-39th-street-galveston-tx-77550,701_39th_Street_Galveston_TX.jpg,"$49,500",Land For Sale,4 photos,Keller Williams Realty Clear Lake / NASA,–,–,–,"1,720",
"4025 Avenue M, Galveston, TX",https://www.estately.com/listings/info/4025-avenue-m-galveston-tx-77550,4025_Avenue_M_Galveston_TX.jpg,"$79,500",Land For Sale,5 photos,Keller Williams Realty Clear Lake / NASA,–,–,–,"3,126",
"750 Beachtown Passage, Galveston, TX",https://www.estately.com/listings/info/750-beachtown-passage-galveston-tx-77550--3,750_Beachtown_Passage_Galveston_TX.jpg,"$1,149,000",House For Sale,47 photos,"Beachtown Realty, LLC",3,3.5,"2,268","3,800",
"7217 Poplar Drive, Galveston, TX",https://www.estately.com/listings/info/7217-poplar-drive-galveston-tx-77551--3,7217_Poplar_Drive_Galveston_TX.jpg,"$368,000",House For Sale,27 photos,RE/MAX Leading Edge,4,2,"2,202","6,890",
"712 44th Street, Galveston, TX",https://www.estately.com/listings/info/712-44th-street-galveston-tx-77550--2,712_44th_Street_Galveston_TX.jpg,"$279,000",House For Sale,33 photos,Keller Williams Realty Clear Lake / NASA,2,1,"1,000","1,600",
"3330 Avenue Q 1/2, Galveston, TX",https://www.estately.com/listings/info/3330-avenue-q-1-2-galveston-tx-77550,3330_Avenue_Q_12_Galveston_TX.jpg,"$549,000",House For Sale,26 photos,RE/MAX Leading Edge,4,3.5,"1,920","4,080",
"500 Seawall Boulevard Unit 1014, Galveston, TX",https://www.estately.com/listings/info/500-seawall-boulevard-galveston-tx-77550--21,500_Seawall_Boulevard_Unit1014_Galveston_TX.jpg,"$1,100,000",Condo For Sale,30 photos,Berkshire Hathaway Home Services,3,2.5,"1,619",,
"801 E Beach Drive Unit BC1110, Galveston, TX",https://www.estately.com/listings/info/801-e-beach-drive-galveston-tx-77550--53,801_E_Beach_Drive_UnitBC1110_Galveston_TX.jpg,"$975,000",Condo For Sale,48 photos,HomeSmart,2,2,"1,296",,
"415 E East Beach Drive Drive Unit 104, Galveston, TX",https://www.estately.com/listings/info/415-e-east-beach-drive-drive-galveston-tx-77550,415_E_East_Beach_Drive_Drive_Unit104_Galveston_TX.jpg,"$339,000",Condo For Sale,40 photos,Camelot Realty Group,2,1,831,,
"4119 Sealy Street, Galveston, TX",https://www.estately.com/listings/info/4119-sealy-street-galveston-tx-77550--2,4119_Sealy_Street_Galveston_TX.jpg,"$69,900",Land For Sale,2 photos,Real Estate Connection Int,–,–,–,"3,960",
"4115 Avenue T 1/2, Galveston, TX",https://www.estately.com/listings/info/4115-avenue-t-1-2-galveston-tx-77550--1,4115_Avenue_T_12_Galveston_TX.jpg,"$475,000",Multifamily For Sale,31 photos,"eXp Realty, LLC",1,1,"1,660","2,568",
"1102 36th Street, Galveston, TX",https://www.estately.com/listings/info/1102-36th-street-galveston-tx-77550,1102_36th_Street_Galveston_TX.jpg,"$759,000",House For Sale,50 photos,Coldwell Banker TGRE,3,3.5,"1,810","2,546",
"5109 Avenue L, Galveston, TX",https://www.estately.com/listings/info/5109-avenue-l-galveston-tx-77551,5109_Avenue_L_Galveston_TX.jpg,"$239,000",Multifamily For Sale,27 photos,Stoneburner & Associates,–,1,"1,216","3,000",
"5621 Avenue Q 1/2, Galveston, TX",https://www.estately.com/listings/info/5621-avenue-q-1-2-galveston-tx-77557,5621_Avenue_Q_12_Galveston_TX.jpg,"$255,000",House For Sale,12 photos,Keystone Realty Group,2,1,934,"5,998",
"2212 48th Street, Galveston, TX",https://www.estately.com/listings/info/2212-48th-street-galveston-tx-77551,2212_48th_Street_Galveston_TX.jpg,"$189,900",House For Sale,26 photos,Velasco Realty Partners,2,1,"1,060","3,000",
"5827 Avenue R, Galveston, TX",https://www.estately.com/listings/info/5827-avenue-r-galveston-tx-77551--2,5827_Avenue_R_Galveston_TX.jpg,"$380,000",House For Sale,20 photos,"CB&A, Realtors",4,3,"1,500","3,078",
"6115 Heards Ln, Galveston, TX",https://www.estately.com/listings/info/6115-heards-ln-galveston-tx-77551,6115_Heards_Ln_Galveston_TX.jpg,"$159,000",Land For Sale,1 photo,"LMI Group, LLC",–,–,–,"3,912",
"5920 Avenue R, Galveston, TX",https://www.estately.com/listings/info/5920-avenue-r-galveston-tx-77551--1,5920_Avenue_R_Galveston_TX.jpg,"$299,000",House For Sale,21 photos,Rose Above Realty,3,2,"1,200","6,000",
"1624 Avenue N 1/2, Galveston, TX",https://www.estately.com/listings/info/1624-avenue-n-1-2-galveston-tx-77550,1624_Avenue_N_12_Galveston_TX.jpg,"$559,900",House For Sale,38 photos,Exit Realty Pro,3,2,"1,560","3,000",
"4116 Avenue T, Galveston, TX",https://www.estately.com/listings/info/4116-avenue-t-galveston-tx-77550--2,4116_Avenue_T_Galveston_TX.jpg,"$525,000",House For Sale,37 photos,"Sand N Sea Properties, LLC",5,3,"2,782","5,160",
"1411 13th Street, Galveston, TX",https://www.estately.com/listings/info/1411-13th-street-galveston-tx-77550,1411_13th_Street_Galveston_TX.jpg,"$489,000",House For Sale,21 photos,"Compass RE Texas, LLC - Houston",3,2,"1,490","2,568",
"5 Colony Park Circle, Galveston, TX",https://www.estately.com/listings/info/5-colony-park-circle-galveston-tx-77551,5_Colony_Park_Circle_Galveston_TX.jpg,"$484,500",House For Sale,31 photos,Better Homes and Gardens Real Estate Gary Greene-Gary Greene-Galveston Intown,3,2,"2,520","8,250",
"4823 Avenue O, Galveston, TX",https://www.estately.com/listings/info/4823-avenue-o-galveston-tx-77551,4823_Avenue_O_Galveston_TX.jpg,"$429,000",House For Sale,35 photos,Nan & Company Properties,4,3,"2,302","6,000",
"6300 Seawall Boulevard Unit 3126, Galveston, TX",https://www.estately.com/listings/info/6300-seawall-boulevard-galveston-tx-77551--128,6300_Seawall_Boulevard_Unit3126_Galveston_TX.jpg,"$229,000",Condo For Sale,50 photos,Carter Signature Properties,1,1,480,480,
"1807 Avenue O, Galveston, TX",https://www.estately.com/listings/info/1807-avenue-o-galveston-tx-77550--4,1807_Avenue_O_Galveston_TX.jpg,"$465,000",Multifamily For Sale,42 photos,Keller Williams Signature,4,3,"2,036","5,140",
"2911 Broadway, Galveston, TX",https://www.estately.com/listings/info/2911-broadway-galveston-tx-77550--2,2911_Broadway_Galveston_TX.jpg,"$975,000",House For Sale,48 photos,RE/MAX Leading Edge,5,3,"4,692","10,280",
"1624 Ave N 1/2, Galveston, TX",https://www.estately.com/listings/info/1624-ave-n-1-2-galveston-tx-77550,1624_Ave_N_12_Galveston_TX.jpg,"$559,900",House For Sale,38 photos,Exit Realty Pro,3,2,"1,560","3,001",
"5623 Avenue Q, Galveston, TX",https://www.estately.com/listings/info/5623-avenue-q-galveston-tx-77551,5623_Avenue_Q_Galveston_TX.jpg,"$495,000",Multifamily For Sale,30 photos,eXp Realty LLC,–,2,"1,750","4,800",
"4009 Avenue N 1/2, Galveston, TX",https://www.estately.com/listings/info/4009-avenue-n-1-2-galveston-tx-77550--1,4009_Avenue_N_12_Galveston_TX.jpg,"$385,000",House For Sale,24 photos,eXp Realty LLC,3,3,"1,744","2,568",
"5124 Rear O 1/2 Avenue, Galveston, TX",https://www.estately.com/listings/info/5124-rear-o-1-2-avenue-galveston-tx-77551--1,5124_Rear_O_12_Avenue_Galveston_TX.jpg,"$268,000",House For Sale,39 photos,"Joe Tramonte Realty, Inc.",1,1,735,,
"1326 27th Street, Galveston, TX",https://www.estately.com/listings/info/1326-27th-street-galveston-tx-77550--1,1326_27th_Street_Galveston_TX.jpg,"$88,888",Land For Sale,3 photos,Coastal Living Properties,–,–,–,"1,541",
"6300 Seawall Boulevard Unit 2301, Galveston, TX",https://www.estately.com/listings/info/6300-seawall-boulevard-galveston-tx-77551--127,6300_Seawall_Boulevard_Unit2301_Galveston_TX.jpg,"$349,900",Condo For Sale,18 photos,Texas Signature Realty,3,1.5,721,721,
"1902 22nd Street, Galveston, TX",https://www.estately.com/listings/info/1902-22nd-street-galveston-tx-77550,1902_22nd_Street_Galveston_TX.jpg,"$599,000",House For Sale,32 photos,"eXp Realty, LLC",3,2,"1,489","1,720",
"4725 Avenue P 1/2, Galveston, TX",https://www.estately.com/listings/info/4725-avenue-p-1-2-galveston-tx-77551,4725_Avenue_P_12_Galveston_TX.jpg,"$319,000",House For Sale,41 photos,Coldwell Banker TGRE,2,1,"1,169","6,000",
"3533 Avenue M, Galveston, TX",https://www.estately.com/listings/info/3533-avenue-m-galveston-tx-77550--5,3533_Avenue_M_Galveston_TX.jpg,"$425,000",House For Sale,37 photos,Coldwell Banker TGRE,4,2,"1,420","3,277",
"1516 Avenue K, Galveston, TX",https://www.estately.com/listings/info/1516-avenue-k-galveston-tx-77550--3,1516_Avenue_K_Galveston_TX.jpg,"$699,999",Multifamily For Sale,23 photos,"Texas Ally Real Estate Group, LLC",3,1,"2,919","5,140",
"3513 Ursuline Street, Galveston, TX",https://www.estately.com/listings/info/3513-ursuline-street-galveston-tx-77550,3513_Ursuline_Street_Galveston_TX.jpg,"$37,500",Land For Sale,4 photos,Co/Max Holding & Realty Co.,–,–,–,"2,570",
"1029 62nd Street, Galveston, TX",https://www.estately.com/listings/info/1029-62nd-street-galveston-tx-77551,1029_62nd_Street_Galveston_TX.jpg,"$375,000",Multifamily For Sale,33 photos,"Sand N Sea Properties, LLC",2,1,"1,816","3,990",
"3912 Sealy, Galveston, TX",https://www.estately.com/listings/info/3912-sealy-galveston-tx-77550,3912_Sealy_Galveston_TX.jpg,"$175,000",House For Sale,8 photos,Coldwell Banker Realty - Heights,1,1,912,"5,160",
"3616 Avenue P 1/2, Galveston, TX",https://www.estately.com/listings/info/3616-avenue-p-1-2-galveston-tx-77550--3,3616_Avenue_P_12_Galveston_TX.jpg,"$340,000",House For Sale,36 photos,Coldwell Banker Realty - Pearland Office,2,1,936,"2,500",
"4107 Avenue M 1/2, Galveston, TX",https://www.estately.com/listings/info/4107-avenue-m-1-2-galveston-tx-77550--1,4107_Avenue_M_12_Galveston_TX.jpg,"$329,000",House For Sale,12 photos,Realty Associates,2,1,"1,008","3,624",
"1 Maple Lane, Galveston, TX",https://www.estately.com/listings/info/1-maple-lane-galveston-tx-77551--1,1_Maple_Lane_Galveston_TX.jpg,"$395,000",House For Sale,22 photos,Better Homes and Gardens Real Estate Gary Greene - Galveston West End,4,3,"2,441","6,958",
"215 Post Office Street Unit 304, Galveston, TX",https://www.estately.com/listings/info/215-post-office-street-galveston-tx-77550--19,215_Post_Office_Street_Unit304_Galveston_TX.jpg,"$174,000",Condo For Sale,38 photos,Rock Center Realty,2,2,"1,079","1,079",
"2025 Avenue N 1/2, Galveston, TX",https://www.estately.com/listings/info/2025-avenue-n-1-2-galveston-tx-77550--1,2025_Avenue_N_12_Galveston_TX.jpg,"$389,000",Multifamily For Sale,15 photos,Carnes Realty Group LLC,–,–,"3,412","2,500",
"2418 35th Street, Galveston, TX",https://www.estately.com/listings/info/2418-35th-street-galveston-tx-77550--5,2418_35th_Street_Galveston_TX.jpg,"$299,900",House For Sale,22 photos,Keller Williams Memorial,2,1,980,"3,440",
"2907 Avenue M 1/2, Galveston, TX",https://www.estately.com/listings/info/2907-avenue-m-1-2-galveston-tx-77550--2,2907_Avenue_M_12_Galveston_TX.jpg,"$500,000",House For Sale,33 photos,Keller Williams Realty Clear Lake / NASA,4,2,"1,422","5,136",
"3202 Avenue P 1/2, Galveston, TX",https://www.estately.com/listings/info/3202-avenue-p-1-2-galveston-tx-77550--1,3202_Avenue_P_12_Galveston_TX.jpg,"$599,900",House For Sale,31 photos,Coldwell Banker Realty - Heights,3,3.5,"2,843","4,004",
"6102 Seawall Blvd, Unit 128, Galveston, TX",https://www.estately.com/listings/info/6102-seawall-blvd-unit-128-galveston-tx-77551,6102_Seawall_Blvd_Unit_128_Galveston_TX.jpg,"$165,000",Condo For Sale,15 photos,"Sand N Sea Properties, LLC",1,1,462,462,
"6102 Seawall Blvd, Unit 126, Galveston, TX",https://www.estately.com/listings/info/6102-seawall-blvd-unit-126-galveston-tx-77551,6102_Seawall_Blvd_Unit_126_Galveston_TX.jpg,"$165,000",Condo For Sale,15 photos,"Sand N Sea Properties, LLC",1,1,462,462,
"5402 Avenue R, Galveston, TX",https://www.estately.com/listings/info/5402-avenue-r-galveston-tx-77551,5402_Avenue_R_Galveston_TX.jpg,"$279,900",Multifamily For Sale,18 photos,"Joe Tramonte Realty, Inc.",–,2,"1,280","4,463",
"5728 Avenue R, Galveston, TX",https://www.estately.com/listings/info/5728-avenue-r-galveston-tx-77551,5728_Avenue_R_Galveston_TX.jpg,"$459,000",House For Sale,26 photos,Tevas Real Estate Group INC,3,2,"1,800","4,557",
"2006 Avenue K, Galveston, TX",https://www.estately.com/listings/info/2006-avenue-k-galveston-tx-77550--1,2006_Avenue_K_Galveston_TX.jpg,"$525,000",House For Sale,32 photos,eXp Realty LLC,3,2.5,"2,064","2,558",
"2800 E Palm Circle, Galveston, TX",https://www.estately.com/listings/info/2800-e-palm-circle-galveston-tx-77551,2800_E_Palm_Circle_Galveston_TX.jpg,"$475,000",House For Sale,37 photos,Sky Homes Realty,5,4,"2,145","6,312",
"5828 Maco Street, Galveston, TX",https://www.estately.com/listings/info/5828-maco-street-galveston-tx-77551,5828_Maco_Street_Galveston_TX.jpg,"$335,000",House For Sale,27 photos,HomeSmart,3,2,"1,344","6,000",
"1213 28th Street, Galveston, TX",https://www.estately.com/listings/info/1213-28th-street-galveston-tx-77550--1,1213_28th_Street_Galveston_TX.jpg,"$239,999",Multifamily For Sale,25 photos,Texas Skyline Properties,1,1,"1,728","1,356",
"1827 Avenue M, Galveston, TX",https://www.estately.com/listings/info/1827-avenue-m-galveston-tx-77550,1827_Avenue_M_Galveston_TX.jpg,"$559,000",House For Sale,46 photos,Lee DeForke Jr.,4,2.5,"1,869","2,322",
"3617 Avenue S 1/2, Galveston, TX",https://www.estately.com/listings/info/3617-avenue-s-1-2-galveston-tx-77550--2,3617_Avenue_S_12_Galveston_TX.jpg,"$367,000",House For Sale,45 photos,Keller Williams Premier Realty,2,1,901,"6,955",
"1528 Market Street, Galveston, TX",https://www.estately.com/listings/info/1528-market-street-galveston-tx-77550,1528_Market_Street_Galveston_TX.jpg,"$519,000",House For Sale,49 photos,Carnes Realty Group LLC,3,1.5,"1,444","2,566",
"2316 Hollywood Avenue, Galveston, TX",https://www.estately.com/listings/info/2316-hollywood-avenue-galveston-tx-77551,2316_Hollywood_Avenue_Galveston_TX.jpg,"$399,000",House For Sale,22 photos,Keller Williams Preferred,2,1,855,"5,200",
"406 17th Street, Galveston, TX",https://www.estately.com/listings/info/406-17th-street-galveston-tx-77550--1,406_17th_Street_Galveston_TX.jpg,"$415,000",House For Sale,26 photos,"Sand N Sea Properties, LLC",3,2.5,"1,456","1,962",
"2717 Post Office Street, Galveston, TX",https://www.estately.com/listings/info/2717-post-office-street-galveston-tx-77550--2,2717_Post_Office_Street_Galveston_TX.jpg,"$79,500",Land For Sale,10 photos,JPAR - The Sears Group,–,–,–,"3,426",
"2415 Church Street, Galveston, TX",https://www.estately.com/listings/info/2415-church-street-galveston-tx-77550,2415_Church_Street_Galveston_TX.jpg,"$2,500,000",House For Sale,49 photos,"Joe Tramonte Realty, Inc.",3,3.5,"18,192","16,320",
"34 Grand Beach Boulevard, Galveston, TX",https://www.estately.com/listings/info/34-grand-beach-boulevard-galveston-tx-77550,34_Grand_Beach_Boulevard_Galveston_TX.jpg,"$1,849,000",House For Sale,49 photos,United Real Estate,5,4.5,"3,796","6,178",
"5721 Sylvia Drive, Galveston, TX",https://www.estately.com/listings/info/5721-sylvia-drive-galveston-tx-77551--2,5721_Sylvia_Drive_Galveston_TX.jpg,"$235,000",House For Sale,15 photos,KSP,2,1,728,"4,138",
"4021 Avenue N 1/2, Galveston, TX",https://www.estately.com/listings/info/4021-avenue-n-1-2-galveston-tx-77550,4021_Avenue_N_12_Galveston_TX.jpg,"$749,000",House For Sale,35 photos,"Compass RE Texas, LLC - Houston",3,3.5,"2,178","3,852",
"1309 Harbor View Drive, Galveston, TX",https://www.estately.com/listings/info/1309-harbor-view-drive-galveston-tx-77550,1309_Harbor_View_Drive_Galveston_TX.jpg,"$1,150,000",House For Sale,45 photos,RE/MAX Signature,4,2,"2,700",,
"1510 22nd Street, Galveston, TX",https://www.estately.com/listings/info/1510-22nd-street-galveston-tx-77550--1,1510_22nd_Street_Galveston_TX.jpg,"$319,999",House For Sale,16 photos,Uno Realty LLC,2,2,"1,116","2,995",
